EAN,Color,PurchasePriceExclVAT,RecommendedPriceInclVAT,BrandName,Sell Price,Color,Offer ID
5712195078584,Vanilla,"24,58","69,95",Kitchentime,38,Vanilla,db3659ec3747999f893070402be24b3f
5712195076603,Not Sure,"104,58","279,95",No Product Found,,Not Sure,No Offer ID
5712195076580,Not Sure,"104,58","279,95",No Product Found,,Not Sure,No Offer ID
5712195076566,Not Sure,"369,20","979,95",No Product Found,,Not Sure,No Offer ID
5712195074821,Not Sure,"104,58","279,95",No Product Found,,Not Sure,No Offer ID
5712195074746,Not Sure,"92,28","249,95",No Product Found,,Not Sure,No Offer ID
5712195074722,Not Sure,"92,28","249,95",No Product Found,,Not Sure,No Offer ID
5712195074609,Not Sure,"86,12","229,95",No Product Found,,Not Sure,No Offer ID
5712195074586,Not Sure,"86,12","229,95",No Product Found,,Not Sure,No Offer ID
5712195079024,Not Sure,"153,82","399,95",No Product Found,,Not Sure,No Offer ID
5712195079000,Beige,"153,82","399,95",Nordic Nest,379,Beige,fe156c153ea273b1b976b31d08a76729
5712195079000,Beige,"153,82","399,95",Kitchentime,379,Beige,642693002036f2498bfc340a3177e99e
5712195078966,Not Sure,"153,82","399,95",No Product Found,,Not Sure,No Offer ID
5712195078942,Beige,"123,05","329,95",Kitchentime,181,Beige,cc99f5a64ce8f9e617932d8378fdd698
5712195078942,Beige,"123,05","329,95",Nordic Nest,184,Beige,6c98bb6eb753e5fbce83a6a50f6aeb12
5712195078904,Not Sure,"123,05","329,95",No Product Found,,Not Sure,No Offer ID
5712195078881,Not Sure,"153,82","399,95",No Product Found,,Not Sure,No Offer ID
5712195078843,Not Sure,"153,82","399,95",No Product Found,,Not Sure,No Offer ID
5712195075149,Not Sure,"61,51","165,95",No Product Found,,Not Sure,No Offer ID
5712195075125,Not Sure,"79,97","219,95",No Product Found,,Not Sure,No Offer ID
5712195075101,Not Sure,"79,97","219,95",No Product Found,,Not Sure,No Offer ID
5712195075088,Not Sure,"79,97","219,95",No Product Found,,Not Sure,No Offer ID
5712195074982,Nutmeg,"49,20","129,95",Coolshop,89.95,Nutmeg,b9fd170160a1906ddeeaa6908de2994e
5712195074968,Not Sure,"49,20","129,95",No Product Found,,Not Sure,No Offer ID
5712195074944,Bright Green,"49,20","129,95",Coolshop,59,Bright Green,a719321d0d0b253753a8f0609ba38e80
5712195074920,Not Sure,"116,89","319,95",No Product Found,,Not Sure,No Offer ID
5712195074463,Not Sure,"98,43","259,95",No Product Found,,Not Sure,No Offer ID
5712195074203,Dark Terracotta,"92,28","249,95",Nordic Nest,141,Dark Terracotta,d31fbc616bac5485d7b4e1cae259e61a
5712195074203,Dark Terracotta,"92,28","249,95",Kitchentime,143,Dark Terracotta,ae070c4e630d26287232643a6a89dbf8
5712195074180,Reactive Olive,"92,28","249,95",Nordic Nest,135,Reactive Olive,434961e5400078d071517203e3b4997b
5712195074180,Reactive Olive,"92,28","249,95",Kitchentime,136,Reactive Olive,46047263db4687c9ee620b1354cf8676
5712195074180,Reactive Olive,"92,28","249,95",Bagaren och Kocken,136,Reactive Olive,eba46c75d48d8f7194373d749e0d7904
5712195074166,Not Sure,"92,28","249,95",No Product Found,,Not Sure,No Offer ID
5712195074142,Not Sure,"92,28","249,95",No Product Found,,Not Sure,No Offer ID
5712195073589,Not Sure,"246,12","649,95",No Product Found,,Not Sure,No Offer ID
5712195073565,Not Sure,"276,89","699,95",No Product Found,,Not Sure,No Offer ID
5712195079949,Not Sure,"153,82","399,95",No Product Found,,Not Sure,No Offer ID
5712195078324,Not Sure,"123,05","329,95",No Product Found,,Not Sure,No Offer ID
5712195078287,Clay,"123,05","329,95",Nordic Nest,185,Clay,c7e28bd4cea46bbc9eb905dcbea6f04a
5712195078287,Clay,"123,05","329,95",Kitchentime,185,Clay,fde64714b26d3497df0e103e4d909c75
5712195078249,Clay,"338,43","899,95",Nordic Nest,497,Clay,07e5d12f2bc76a8fce2f892e0f65d553
5712195078249,Clay,"338,43","899,95",Kitchentime,497,Clay,137e674efe8e1fe854e1b4151aff73fb
5712195078249,Clay,"338,43","899,95",Bagaren och Kocken,497,Clay,46bd683d33d48dc9c12d36bd5b6650a7
5712195078201,Clay,"276,89","699,95",Nordic Nest,441,Clay,c1fef30049735d330989eebe962f859c
5712195078201,Clay,"276,89","699,95",Kitchentime,441,Clay,f17b96d0e4d8df12007bfebf11d0ba74
5712195078201,Clay,"276,89","699,95",Bagaren och Kocken,441,Clay,c7efc4386b8d5591c115040df4d723b6
5712195078164,Not Sure,"61,51","165,95",No Product Found,,Not Sure,No Offer ID
5712195078102,Jade,"369,20","979,95",Nordic Nest,584,Jade,0b9858f0a43de72ee3cb88a61dc816ff
5712195078102,Jade,"369,20","979,95",Kitchentime,584,Jade,95bbd54c69f20b32e1b7b6971b9138ef
5712195077945,Not Sure,"110,74","299,95",No Product Found,,Not Sure,No Offer ID
5712195077921,Not Sure,"110,74","299,95",No Product Found,,Not Sure,No Offer ID
5712195078065,Jade,"676,89","1799,95",Nordic Nest,972,Jade,748a9cfc32bef94a4b42f9e477588240
5712195078065,Jade,"676,89","1799,95",Kitchentime,1566,Jade,a4fa5f518c6cb854f9b3911a5ca8328e
5712195077327,Not Sure,"79,97","219,95",No Product Found,,Not Sure,No Offer ID
5712195077303,Ice Blue,"79,97","219,95",Nordic Nest,161,Ice Blue,b5252617f2ac1b90b1bb104fdc23643b
5712195077303,Ice Blue,"79,97","219,95",Kitchentime,161,Ice Blue,a5c5c966e35ffba96f44ce820255b0c4
5712195077303,Ice Blue,"79,97","219,95",Bagaren och Kocken,161,Ice Blue,2cecafa000bcd2153f11dd20550f2b68
5712195074906,Not Sure,"116,89","319,95",No Product Found,,Not Sure,No Offer ID
5712195074883,Not Sure,"116,89","319,95",No Product Found,,Not Sure,No Offer ID
5712195074845,Not Sure,"104,58","279,95",No Product Found,,Not Sure,No Offer ID
5712195076368,Not Sure,"141,51","379,95",No Product Found,,Not Sure,No Offer ID
5712195076344,Clay,"141,51","379,95",Nordic Nest,235,Clay,1e2daf8386e8ea5877aec7f078f25427
5712195076344,Clay,"141,51","379,95",Kitchentime,235,Clay,1a7048735ce1010f580eb5d397afec9c
5712195076344,Clay,"141,51","379,95",Bagaren och Kocken,235,Clay,bd254df2471b9cb8c064c33a2c9fea9e
5712195076344,Clay,"141,51","379,95",Coolshop,349,Clay,c54e943c7fab62da3ac5ff7312fe587e
5712195076207,Not Sure,"184,58","499,95",No Product Found,,Not Sure,No Offer ID
