Handle,Image Position,Type,Image URL
1616-01-124,2,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/uploads/1616-01-124/1616-01-124_2.jpg
1616-01-124,3,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1616-01-124_1m.jpg
1616-20-124,1,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1616-20-124_1.jpg
1616-20-124,2,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1616-20-124_2.jpg
1616-20-124,3,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1616-20-124_3.jpg
1616-20-124,4,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1616-20-124_1m.jpg
1617-01-124,1,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/uploads/1617-01-124/1617-01-124_1.jpg
1617-01-124,2,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1617-01-124_1m.jpg
1617-19-124,1,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1617-19-124_1.jpg
1617-19-124,2,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1617-19-124_2.jpg
1617-19-124,3,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1617-19-124_3.jpg
1617-19-124,4,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1617-19-124_1m.jpg
1617-19-124,5,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1617-19-124_3m.jpg
1618-00-008,1,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/uploads/1618-00-008/1618-00-008_1.jpg
1618-00-008,2,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/uploads/1618-00-008/1618-00-008_2.jpg
1618-00-999,1,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/uploads/1618-00-999/1618-00-999_1.jpg
1618-00-999,2,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/uploads/1618-00-999/1618-00-999_2.jpg
1618-20-008,1,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1618-20-008_1.jpg
1618-20-008,2,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1618-20-008_2.jpg
1618-20-008,3,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1618-20-008_3.jpg
1618-20-008,4,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1618-20-008_1m.jpg
1618-20-999,1,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1618-20-999_1.jpg
1618-20-999,2,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1618-20-999_2.jpg
1618-20-999,3,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1618-20-999_3.jpg
1618-20-999,4,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1618-20-999_1m.jpg
1618-47-008,1,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1618-47-008_1.jpg
1618-47-999,1,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1618-47-999_1.jpg
1618-47-999,2,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1618-47-999_4m.jpg
1618-47-999,3,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/uploads/1618-47-999/1471-47-105_4m.jpg
1618-47-999,4,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/uploads/1618-47-999/1618-47-999_2m.jpg
1619-82-002,1,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1619-82-002_1.jpg
1619-82-002,2,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1619-82-002_2.jpg
1619-82-002,3,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1619-82-002_1m.jpg
1619-87-002,1,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1619-87-002_1.jpg
1619-87-002,2,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1619-87-002_2.jpg
1619-87-002,3,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1619-87-002_1m.jpg
1619-87-002,4,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1619-87-002_2m.jpg
1620-68-002,1,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1620-68-002_1.jpg
1620-68-002,2,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1620-68-002_2.jpg
1620-96-002,1,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1620-96-002_1.jpg
1620-96-002,2,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1620-96-002_2.jpg
1620-98-002,1,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1620-98-002_1.jpg
1621-00-124,1,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1621-00-124_1.jpg
1621-47-124,1,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1621-47-124_1.jpg
1621-47-124,2,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1621-47-124_1m.jpg
1622-00-008,1,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1622-00-008_1.jpg
1622-00-124,1,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1622-00-124_1.jpg
1623-47-124,1,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/uploads/1623-47-124/1623-47-124_1.jpg
1623-47-124,2,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/uploads/1623-47-124/1623-47-124_2.jpg
1623-47-124,3,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1623-47-124_1m.jpg
1624-47-124,1,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1624-47-124_1.jpg
1624-47-124,2,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1624-47-124_2.jpg
1624-47-124,3,Image Src,https://d27ahaa1qqlr90.cloudfront.net/fit-in/2000x2000/svanefors/pim-item/batch/1624-47-124_1m.jpg
