Color Name,Composition in %,Brand,Height in cm (PRODUCT),Length in cm  (PRODUCT),Width/Dia in cm  (PRODUCT),Weight in gram without packing  (PRODUCT),Country of Origin,Oeko-tex (Y/N),GOTS (Y/N),Gsm/m2,Made of recycled material (Y/N),FSC (Y/N),Origin Of Material (Specially by Wood),How many ML can the item contain?,Sustainability in Terms of Material (Y/N),Multipack (Y/N),Age Recommendation,Fragile (Y/N),Outdoor Use (Y/N),Handmade (Y/N),Care instructions,Maximum Load in KG,Waterproof (Y/N),Frostsafe (Y/N),Suitable for dishwasher (Y/N),Suitable for oven (Y/N),Suitable for microwave (Y/N),Suitable for wetrooms (Y/N),Kelvin,Lumen,Lifetime (LED),Max watt,Length of cord,Rechargable,Dimmerable,LED,Shelf life unopend in months,Shelf life opend in months,Perfume (Y/N),Perfume in %,Type of perfume (Natural / Synthetic),Declarational perfumes,PH value,VOC in %,BSE Free,List the preservatives used in the product,Contains palm oil (Y/N),Palm oil in %,Contains RSPO Certified palm oil (Y/N),Cold sensitive (Y/N),Cold sensitive minimum °C,Heat sensitive (Y/N),Heat sensitive maximum °C,Burning time in hours
Clay,"Cotton, Nylon",OYOY MINI,2,53,30,370,India,Yes,No,,No,No,India,,Yes,No,,No,No,No,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,100% Oak,OYOY LIVING,55,"66,5","24,5",4400,China,No,No,,No,Yes,US,,Yes,No,,No,No,No,,12,No,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive Mellow,100% Stoneware,OYOY LIVING,"3,5",5,"8,2",550,China,N,N,,N,N,,30,,Y,3+,Y,N,Y,,,Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive Mellow,100% Stoneware,OYOY LIVING,"4,6",26,"30,6",1040,China,N,N,,N,N,,50,,Y,3+,Y,N,Y,,,Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latte,100% Stoneware,OYOY LIVING,"6,8","14,5","18,2",880,China,N,N,,N,N,,50,,Y,3+,Y,N,Y,,,Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive Mellow,100% Stoneware,OYOY LIVING,"6,8","14,5","18,2",880,China,N,N,,N,N,,50,,Y,3+,Y,N,Y,,,Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latte,100% Stoneware,OYOY LIVING,"10,5","10,2","7,8",880,China,N,N,,N,N,,50,,Y,3+,Y,N,Y,,,Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive Mellow,100% Stoneware,OYOY LIVING,"10,5","10,2","7,8",880,China,N,N,,N,N,,50,,Y,3+,Y,N,Y,,,Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grey,"100% Cotton, 100% Recycled Polyester Filling",OYOY LIVING,"3,5",26,35,230,India,No,No,225,Yes,No,India,,Yes,No,,No,No,No,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown/Offwhite,"100% Cotton, 100% Recycled Polyester Filling",OYOY LIVING,"3,5",30,39,290,India,No,No,225,Yes,No,India,,Yes,No,,No,No,No,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown/Offwhite,"100% Cotton, 100% Recycled Polyester Filling",OYOY LIVING,"3,5",26,35,240,India,No,No,225,Yes,No,India,,Yes,No,,No,No,No,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive,100% Recycled Polyester,OYOY LIVING,5,42,50,1170,India,No,No,225,Yes,No,India,,Yes,No,,No,Yes,No,,,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
BrownedBrass,"Stainless Steel, Glass Mirror, MDF Backboard",OYOY LIVING,"2,5",80,80,7800,China,No,No,,No,No,China,,No,No,,Yes,No,No,,,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
BrownedBrass,"Stainless Steel, Mirror Glass",OYOY LIVING,"3,2","15,6","15,6",580,China,No,No,,No,No,China,,No,No,,Yes,No,No,,,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
BrownedBrass,"Stainless Steel, Mirror Glass",OYOY LIVING,"1,5","25,2","15,4",240,China,No,No,,No,No,China,,No,No,,Yes,No,No,,,No,No,No,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
